Unnamed: 0,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs
14,phase-encoding,original,0.9,False,0.1,0.4148859784394432,"[0.637451171875, 0.635009765625, 0.6292724609375, 0.6451416015625, 0.63671875, 0.6424560546875, 0.6378173828125, 0.635009765625, 0.6265869140625, 0.6392822265625, 0.635986328125, 0.633056640625, 0.63671875, 0.6282958984375, 0.641357421875, 0.635498046875, 0.6397705078125, 0.632568359375, 0.6312255859375, 0.621826171875]"
15,phase-encoding,original,0.9,True,0.1,0.4148859784394432,"[0.6318359375, 0.6337890625, 0.6358642578125, 0.63134765625, 0.6334228515625, 0.64111328125, 0.6324462890625, 0.6298828125, 0.6314697265625, 0.6373291015625, 0.6302490234375, 0.626953125, 0.6441650390625, 0.6260986328125, 0.64111328125, 0.643310546875, 0.6339111328125, 0.6317138671875, 0.63330078125, 0.646728515625]"
16,phase-encoding,angle,0.3,False,0.02,0.4148859784394432,"[1.0, 0.0467529296875, 0.595947265625, 0.5968017578125, 1.0, 0.0445556640625, 0.59521484375, 0.595458984375, 1.0, 0.0428466796875, 0.5975341796875, 0.5972900390625, 0.9998779296875, 0.047119140625, 0.608154296875, 0.6016845703125, 1.0, 0.041748046875, 0.592529296875, 0.59619140625]"
17,phase-encoding,angle,0.3,True,0.02,0.4148859784394432,"[0.3074951171875, 0.9085693359375, 0.310546875, 0.9132080078125, 0.306884765625, 0.905517578125, 0.3089599609375, 0.91259765625, 0.3126220703125, 0.9061279296875, 0.3192138671875, 0.9112548828125, 0.30859375, 0.908447265625, 0.314208984375, 0.91015625, 0.3135986328125, 0.9117431640625, 0.3043212890625, 0.9119873046875]"
18,phase-encoding,angle,0.3,False,0.1,0.4148859784394432,"[0.890625, 0.011474609375, 0.2802734375, 0.2796630859375, 0.8992919921875, 0.010986328125, 0.2762451171875, 0.2813720703125, 0.8896484375, 0.015869140625, 0.285888671875, 0.2791748046875, 0.88818359375, 0.012939453125, 0.282470703125, 0.2882080078125, 0.8900146484375, 0.01220703125, 0.2786865234375, 0.28271484375]"
19,phase-encoding,angle,0.3,True,0.1,0.4148859784394432,"[0.4322509765625, 0.966064453125, 0.4228515625, 0.9639892578125, 0.4266357421875, 0.966552734375, 0.426513671875, 0.9632568359375, 0.4287109375, 0.9686279296875, 0.4273681640625, 0.9642333984375, 0.41943359375, 0.967041015625, 0.4212646484375, 0.96533203125, 0.417236328125, 0.9656982421875, 0.4261474609375, 0.96337890625]"
20,phase-encoding,angle,0.5,False,0.02,0.4148859784394432,"[0.99609375, 0.0777587890625, 0.6552734375, 0.6636962890625, 0.9971923828125, 0.0797119140625, 0.6658935546875, 0.6614990234375, 0.9967041015625, 0.0836181640625, 0.6712646484375, 0.6728515625, 0.99853515625, 0.0767822265625, 0.6712646484375, 0.6669921875, 0.9952392578125, 0.0821533203125, 0.6710205078125, 0.66455078125]"
21,phase-encoding,angle,0.5,True,0.02,0.4148859784394432,"[0.3138427734375, 0.917724609375, 0.3140869140625, 0.906982421875, 0.3187255859375, 0.916015625, 0.3062744140625, 0.9132080078125, 0.305908203125, 0.908935546875, 0.3133544921875, 0.9161376953125, 0.3150634765625, 0.9149169921875, 0.3087158203125, 0.9132080078125, 0.3111572265625, 0.9080810546875, 0.3114013671875, 0.908203125]"
22,phase-encoding,original,0.3,False,0.02,0.4148859784394432,"[0.626708984375, 0.6326904296875, 0.634033203125, 0.638671875, 0.641357421875, 0.633056640625, 0.639892578125, 0.61962890625, 0.6304931640625, 0.6346435546875, 0.6395263671875, 0.630859375, 0.62939453125, 0.6239013671875, 0.633056640625, 0.6251220703125, 0.63818359375, 0.63232421875, 0.6339111328125, 0.63623046875]"
23,phase-encoding,original,0.3,True,0.02,0.4148859784394432,"[0.633544921875, 0.625244140625, 0.628173828125, 0.6380615234375, 0.640869140625, 0.6339111328125, 0.622314453125, 0.6376953125, 0.635986328125, 0.6419677734375, 0.6339111328125, 0.6353759765625, 0.6427001953125, 0.626220703125, 0.6314697265625, 0.633544921875, 0.623779296875, 0.6337890625, 0.64013671875, 0.6319580078125]"
