,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs,circuit_size
48,phase-encoding,radius,0.7,False,0.02,0.5384958704104337,"[0.55615234375, 0.0267333984375, 0.0235595703125, 0.548828125, 0.5447998046875, 0.026611328125, 0.0223388671875, 0.5491943359375, 0.5426025390625, 0.026123046875, 0.0257568359375, 0.5523681640625, 0.5472412109375, 0.0242919921875, 0.026611328125, 0.541748046875, 0.5430908203125, 0.027099609375, 0.02392578125, 0.54931640625]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
49,phase-encoding,radius,0.7,True,0.02,0.5384958704104337,"[0.662353515625, 0.65771484375, 0.6583251953125, 0.6591796875, 0.6656494140625, 0.66357421875, 0.6610107421875, 0.65576171875, 0.66064453125, 0.658447265625, 0.6612548828125, 0.655517578125, 0.6629638671875, 0.6739501953125, 0.6651611328125, 0.6572265625, 0.660888671875, 0.6610107421875, 0.6630859375, 0.6513671875]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
50,phase-encoding,radius,0.7,False,0.1,0.5384958704104337,"[0.5467529296875, 0.023193359375, 0.02685546875, 0.544921875, 0.55078125, 0.0198974609375, 0.0264892578125, 0.545654296875, 0.5447998046875, 0.026611328125, 0.023193359375, 0.5430908203125, 0.549072265625, 0.0224609375, 0.02490234375, 0.5384521484375, 0.55419921875, 0.0244140625, 0.02587890625, 0.5391845703125]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
51,phase-encoding,radius,0.7,True,0.1,0.5384958704104337,"[0.665283203125, 0.6575927734375, 0.651123046875, 0.666015625, 0.6617431640625, 0.6600341796875, 0.6607666015625, 0.656005859375, 0.6591796875, 0.65185546875, 0.6552734375, 0.650390625, 0.664306640625, 0.6529541015625, 0.6580810546875, 0.66162109375, 0.666748046875, 0.67919921875, 0.6639404296875, 0.653564453125]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
52,phase-encoding,radius,0.8,False,0.02,0.5384958704104337,"[0.54736328125, 0.0267333984375, 0.02392578125, 0.55322265625, 0.5521240234375, 0.02392578125, 0.02685546875, 0.5413818359375, 0.54638671875, 0.0233154296875, 0.0238037109375, 0.5455322265625, 0.54833984375, 0.0247802734375, 0.02734375, 0.5447998046875, 0.5511474609375, 0.02490234375, 0.024658203125, 0.5413818359375]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
53,phase-encoding,radius,0.8,True,0.02,0.5384958704104337,"[0.791748046875, 0.7835693359375, 0.777099609375, 0.7882080078125, 0.783203125, 0.77783203125, 0.7852783203125, 0.7830810546875, 0.781005859375, 0.7891845703125, 0.78125, 0.7891845703125, 0.7923583984375, 0.7843017578125, 0.7828369140625, 0.7869873046875, 0.7755126953125, 0.782958984375, 0.78662109375, 0.7822265625]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
54,phase-encoding,radius,0.8,False,0.1,0.5384958704104337,"[0.5406494140625, 0.023681640625, 0.0262451171875, 0.5435791015625, 0.548095703125, 0.025634765625, 0.0257568359375, 0.550537109375, 0.540771484375, 0.0242919921875, 0.0224609375, 0.5528564453125, 0.5439453125, 0.0286865234375, 0.0230712890625, 0.544189453125, 0.554931640625, 0.02490234375, 0.02392578125, 0.54345703125]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
55,phase-encoding,radius,0.8,True,0.1,0.5384958704104337,"[0.65576171875, 0.666015625, 0.6533203125, 0.6644287109375, 0.66552734375, 0.6656494140625, 0.66552734375, 0.662109375, 0.655517578125, 0.6663818359375, 0.6572265625, 0.6741943359375, 0.6588134765625, 0.661865234375, 0.6602783203125, 0.659423828125, 0.661376953125, 0.659423828125, 0.6605224609375, 0.6593017578125]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
56,phase-encoding,radius,0.9,False,0.02,0.5384958704104337,"[0.5413818359375, 0.022216796875, 0.02392578125, 0.548828125, 0.547607421875, 0.0225830078125, 0.0223388671875, 0.5452880859375, 0.5484619140625, 0.02490234375, 0.0296630859375, 0.5419921875, 0.54248046875, 0.0257568359375, 0.0250244140625, 0.5469970703125, 0.5491943359375, 0.0234375, 0.0230712890625, 0.5380859375]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
57,phase-encoding,radius,0.9,True,0.02,0.5384958704104337,"[0.888916015625, 0.8885498046875, 0.8853759765625, 0.8836669921875, 0.8875732421875, 0.885986328125, 0.8779296875, 0.8895263671875, 0.8875732421875, 0.8798828125, 0.8878173828125, 0.8834228515625, 0.8848876953125, 0.88818359375, 0.884521484375, 0.884765625, 0.879150390625, 0.888671875, 0.89013671875, 0.8900146484375]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
