model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
phase-encoding,radius,False,0.7,0.02,0.2856999999999999,"[-0.19939205456923798, 0.15458933982656295, -0.10754107515972097, -0.32523893883105737]",0.7234651778309412,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
phase-encoding,angle,True,0.1,0.1,0.2856999999999999,"[24.82800463911662, -0.1653589486228925, 0.028761101961531033, 0.028761101961531033, 0.3743424659170772, 0.5730736658681794, 1.0, 1.0]","[0.5, 0.5, 0.5, 0.5]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
phase-encoding,radius,True,0.3,0.02,0.2856999999999999,"[-2.123840860415921, -1.3986370223225495, -3.8557777721091377, -3.8557777721091377, -6.069278565853455, -0.3983016174878689, 1.0, 1.0]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
phase-encoding,original,False,0.1,0.1,0.2856999999999999,"[-2.2852468564800374, 2.236157334417834, 7.156041931271842, -18.12074809420913]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
phase-encoding,radius,False,0.7,0.1,0.2856999999999999,"[-0.3450962482561286, 0.08413234639956582, -0.26941484714982145, -0.5485468246510801]",0.4384092314408935,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
phase-encoding,original,False,0.1,0.02,0.2856999999999999,"[-0.5059999999999999, 0.8688000000000041, 1.7245999999999977, -2.6258]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]"
phase-encoding,angle,True,0.5,0.1,0.2856999999999999,"[10.206075969270344, 0.09020034815866154, -2.0918139392115793, -2.0918139392115793, -6.177096429021114, -0.5824360515441834, 1.0, 1.0]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
HSGS,original,True,0.1,0.02,0.2999899999999999,"[1.8605489174641237, 0.7301295004136454, 0.9703028790209655, 2.408489919236032, -0.9108716251132698, -0.9668305542407504, -0.21658741932623432, 1.8904098591020357, 1.1290132408839142, -1.07224714025502, -1.3351509097022058, 0.3507658890910703, 2.1923846893850603, 3.577401154851591, -1.9341096142194085, 2.897917994309262, 1.54864750651951, 3.733994677212665, 1.5926253326439548, -0.42395095166930497, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001, 2.060000000000001]",0.2303028790209648,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
phase-encoding,radius,True,0.5,0.02,0.3571499999999999,"[-2.6247862702768106, -1.6345884973568312, -4.058789896905554, -3.7737339505155054, -6.42469349727262, -0.41610679779481785, 1.0, 1.0]",0.7799187922401146,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
phase-encoding,original,True,0.3,0.02,0.3714399999999999,"[0.47095314351995826, 0.8377573344178332, 0.6824419312718388, -0.23154809420912686, 0.3399999999999994, 0.3399999999999994, 0.3399999999999994, 0.3399999999999994]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]"
phase-encoding,radius,True,0.3,0.1,0.3714399999999999,"[-9.224414322704074, -5.237219284182429, -15.671414036018733, -15.6912040614997, -24.75650253197878, -4.351107506903425, 1.0, 1.0]","[0.24875314351995803, 0.5761573344178369, 0.592041931271839, 0.5722519057908734]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
phase-encoding,angleradius,True,0.3,0.02,0.3714399999999999,"[-1.42546505566046, -0.730878268711867, -1.8526167396035178, -1.5675607932134712, 3.582247868661994, 0.009041869493224351, -0.2723450247038672, -0.2723450247038672, -2.8732112491961073, 0.30108692484919214]",0.7234651778309412,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
